('d�lar', 'n') 0.9999999999999998
('latidas', 'n') 0.0
('latina', 'n') 0.0
('laudo', 'n') 0.0
('lava', 'n') 0.0
('lavamanos', 'n') 0.0
('lavatorio', 'n') 0.0
('laya', 'n') 0.0
('lazo', 'n') 0.0
('lechero', 'n') 0.0
('lectora', 'n') 0.0
('lectura', 'n') 0.0
('ledo', 'n') 0.0
('legalidad', 'n') 0.0
('legislativos', 'n') 0.0
('legitimidad', 'n') 0.0
('lenta', 'n') 0.0
('lerda', 'n') 0.0
('lesionadas', 'n') 0.0
('letra', 'n') 0.0
('leyendo', 'n') 0.0
('libra', 'n') 0.0
('libradas', 'n') 0.0
('librado', 'n') 0.0
('libro', 'n') 0.0
('licencia', 'n') 0.0
('licenciado', 'n') 0.0
('liderados', 'n') 0.0
('ligeros', 'n') 0.0
('limitaci�n', 'n') 0.0
('limitarnos', 'n') 0.0
('linchamiento', 'n') 0.0
('linda', 'n') 0.0
('lio', 'n') 0.0
('litro', 'n') 0.0
('lit�rgicos', 'n') 0.0
('llaga', 'n') 0.0
('llamada', 'n') 0.0
('llamando', 'n') 0.0
('llave', 'n') 0.0
('llegada', 'n') 0.0
('llenado', 'n') 0.0
('lleno', 'n') 0.0
('lluvia', 'n') 0.0
('localidad', 'n') 0.0
('logrado', 'n') 0.0
('logro', 'n') 0.0
('loma', 'n') 0.0
('lombardista', 'n') 0.0
('lorenzo', 'n') 0.0
('lozano', 'n') 0.0
('luc�a', 'n') 0.0
('luegodelicada', 'n') 0.0
('lujo', 'n') 0.0
('luto', 'n') 0.0
('luz', 'n') 0.0
('l�cteo', 'n') 0.0
('l�stima', 'n') 0.0
('l�zaro', 'n') 0.0
('l�nea', 'n') 0.0
('l�quida', 'n') 0.0
('l�rico', 'n') 0.0
('l�cido', 'n') 0.0
('macho', 'n') 0.0
('macroeconom�a', 'n') 0.0
('macroecon�micas', 'n') 0.0
('macroecon�mico', 'n') 0.0
('madrazo', 'n') 0.0
('madre', 'n') 0.0
('maestro', 'n') 0.0
('magana', 'n') 0.0
('maga�a', 'n') 0.0
('magdalena', 'n') 0.0
('magia', 'n') 0.0
('magnitud', 'n') 0.0
('maldonado', 'n') 0.0
('malosos', 'n') 0.0
('malpica', 'n') 0.0
('maltratado', 'n') 0.0
('maltrato', 'n') 0.0
('mama', 'n') 0.0
('manantial', 'n') 0.0
('manchada', 'n') 0.0
('manda', 'n') 0.0
('mandamiento', 'n') 0.0
('mandatario', 'n') 0.0
('mandato', 'n') 0.0
('manejador', 'n') 0.0
('manejados', 'n') 0.0
('manifestante', 'n') 0.0
('manipuladas', 'n') 0.0
('manlio', 'n') 0.0
('mantenimiento', 'n') 0.0
('manto', 'n') 0.0
('manuel', 'n') 0.0
('manzanera', 'n') 0.0
('manzanillo', 'n') 0.0
('maquila', 'n') 0.0
('maquiladoras', 'n') 0.0
('maquinita', 'n') 0.0
('mar', 'n') 0.0
('marcaba', 'n') 0.0
('marcia', 'n') 0.0
('marcos', 'n') 0.0
('margarita', 'n') 0.0
('marquesina', 'n') 0.0
('martha', 'n') 0.0
('martirio', 'n') 0.0
('mas', 'n') 0.0
('masa', 'n') 0.0
('matamos', 'n') 0.0
('matem�tico', 'n') 0.0
('mateo', 'n') 0.0
('mauro', 'n') 0.0
('maximato', 'n') 0.0
('maxis', 'n') 0.0
('mazorca', 'n') 0.0
('ma�z', 'n') 0.0
('media', 'n') 0.0
('mediano', 'n') 0.0
('median�a', 'n') 0.0
('mediod�a', 'n') 0.0
('mejor�a', 'n') 0.0
('memoria', 'n') 0.0
('mencionadas', 'n') 0.0
('mendoza', 'n') 0.0
('mentira', 'n') 0.0
('mercdados', 'n') 0.0
('mermada', 'n') 0.0
('mesoam�rica', 'n') 0.0
('mesura', 'n') 0.0
('metaf�sicas', 'n') 0.0
('metiendo', 'n') 0.0
('metodolog�as', 'n') 0.0
('mexicano', 'n') 0.0
('mia', 'n') 0.0
('microc�mputo', 'n') 0.0
('microondas', 'n') 0.0
('microsoft', 'n') 0.0
('miedo', 'n') 0.0
('miembro', 'n') 0.0
('miguel', 'n') 0.0
('milenio', 'n') 0.0
('militancia', 'n') 0.0
('militantes', 'n') 0.0
('militar', 'n') 0.0
('millonaria', 'n') 0.0
('ministerio', 'n') 0.0
('minor�a', 'n') 0.0
('mira', 'n') 0.0
('mirando', 'n') 0.0
('misa', 'n') 0.0
('miseria', 'n') 0.0
('misericordia', 'n') 0.0
('mito', 'n') 0.0
('mitolog�a', 'n') 0.0
('moci�n', 'n') 0.0
('modelo', 'n') 0.0
('modernista', 'n') 0.0
('modifica', 'n') 0.0
('molestia', 'n') 0.0
('molina', 'n') 0.0
('monarca', 'n') 0.0
('monarqu�a', 'n') 0.0
('monetaria', 'n') 0.0
('monitoreo', 'n') 0.0
('monja', 'n') 0.0
('monopolio', 'n') 0.0
('monsanto', 'n') 0.0
('monstruosa', 'n') 0.0
('montados', 'n') 0.0
('morbo', 'n') 0.0
('moreno', 'n') 0.0
('mosaico', 'n') 0.0
('mostradas', 'n') 0.0
('mota', 'n') 0.0
('motopatrullas', 'n') 0.0
('motor', 'n') 0.0
('mover�a', 'n') 0.0
('movilizaci�n', 'n') 0.0
('much�simas', 'n') 0.0
('muerta', 'n') 0.0
('muestra', 'n') 0.0
('multimedios', 'n') 0.0
('multiplicando', 'n') 0.0
('murillo', 'n') 0.0
('murrieta', 'n') 0.0
('m�quina', 'n') 0.0
('m�dico', 'n') 0.0
('m�ndez', 'n') 0.0
('m�xicocuernavaca', 'n') 0.0
('m�xicopachuca', 'n') 0.0
('m�xicopuebla', 'n') 0.0
('m�gica', 'n') 0.0
('m�sica', 'n') 0.0
('nacionalismo', 'n') 0.0
('nacionalista', 'n') 0.0
('natalio', 'n') 0.0
('nativo', 'n') 0.0
('naufragio', 'n') 0.0
('nave', 'n') 0.0
('nav�o', 'n') 0.0
('necesarias', 'n') 0.0
('necesario', 'n') 0.0
('necesitando', 'n') 0.0
('necia', 'n') 0.0
('negaba', 'n') 0.0
('negligencia', 'n') 0.0
('nemias', 'n') 0.0
('neta', 'n') 0.0
('netra', 'n') 0.0
('neumon�a', 'n') 0.0
('nexo', 'n') 0.0
('ni�a', 'n') 0.0
('noche', 'n') 0.0
('nociva', 'n') 0.0
('nodos', 'n') 0.0
('nombrados', 'n') 0.0
('norberto', 'n') 0.0
('norte', 'n') 0.0
('norteam�rica', 'n') 0.0
('nostalgia', 'n') 0.0
('noticiario', 'n') 0.0
('noticioso', 'n') 0.0
('noticiosos', 'n') 0.0
('novedoso', 'n') 0.0
('novela', 'n') 0.0
('nube', 'n') 0.0
('nuevo', 'n') 0.0
('n��ez', 'n') 0.0
('obispo', 'n') 0.0
('obligada', 'n') 0.0
('obrera', 'n') 0.0
('observado', 'n') 0.0
('obstaculizado', 'n') 0.0
('ocasi�n', 'n') 0.0
('ocaso', 'n') 0.0
('occidente', 'n') 0.0
('ochoa', 'n') 0.0
('ocupadas', 'n') 0.0
('odiando', 'n') 0.0
('ofensa', 'n') 0.0
('ofensivos', 'n') 0.0
('oficio', 'n') 0.0
('ofrezca', 'n') 0.0
('ojo', 'n') 0.0
('ola', 'n') 0.0
('olor', 'n') 0.0
('olvida', 'n') 0.0
('olvidadas', 'n') 0.0
('onufrienko', 'n') 0.0
('operativo', 'n') 0.0
('oponiendo', 'n') 0.0
('oportunidad', 'n') 0.0
('oportunistas', 'n') 0.0
('optamos', 'n') 0.0
('opuesta', 'n') 0.0
('opuesto', 'n') 0.0
('oraci�n', 'n') 0.0
('ordal�as', 'n') 0.0
('ordinarias', 'n') 0.0
('oreja', 'n') 0.0
('organos', 'n') 0.0
('orgullo', 'n') 0.0
('orientarlos', 'n') 0.0
('origen', 'n') 0.0
('origina', 'n') 0.0
('originando', 'n') 0.0
('orinda', 'n') 0.0
('ornamento', 'n') 0.0
('ornelas', 'n') 0.0
('oro', 'n') 0.0
('oropeza', 'n') 0.0
('ortega', 'n') 0.0
('oscaruespinosa', 'n') 0.0
('otorgado', 'n') 0.0
('otorgamiento', 'n') 0.0
('otorgarlos', 'n') 0.0
('oto�o', 'n') 0.0
('o�da', 'n') 0.0
('o�do', 'n') 0.0
('pablo', 'n') 0.0
('padecemos', 'n') 0.0
('padecido', 'n') 0.0
('padeciendo', 'n') 0.0
('padec�a', 'n') 0.0
('padilla', 'n') 0.0
('padrastro', 'n') 0.0
('palacio', 'n') 0.0
('palangana', 'n') 0.0
('palma', 'n') 0.0
('palo', 'n') 0.0
('pan', 'n') 0.0
('pandilla', 'n') 0.0
('panga', 'n') 0.0
('panistas', 'n') 0.0
('panorama', 'n') 0.0
('pantalla', 'n') 0.0
('paquete', 'n') 0.0
('paradigma', 'n') 0.0
('paradoja', 'n') 0.0
('para�so', 'n') 0.0
('parecer�a', 'n') 0.0
('pared', 'n') 0.0
('pareja', 'n') 0.0
('parque', 'n') 0.0
('parteaguas', 'n') 0.0
('participativo', 'n') 0.0
('partida', 'n') 0.0
('partidistas', 'n') 0.0
('partidizado', 'n') 0.0
('partisanos', 'n') 0.0
('pasa', 'n') 0.0
('pasada', 'n') 0.0
('pasaje', 'n') 0.0
('pasatiempo', 'n') 0.0
('pascual', 'n') 0.0
('paseando', 'n') 0.0
('paseo', 'n') 0.0
('pasivo', 'n') 0.0
('paso', 'n') 0.0
('patria', 'n') 0.0
('patricio', 'n') 0.0
('patri�tica', 'n') 0.0
('patr�n', 'n') 0.0
('pavimento', 'n') 0.0
('payasita', 'n') 0.0
('pecado', 'n') 0.0
('pedazo', 'n') 0.0
('pedro', 'n') 0.0
('peligro', 'n') 0.0
('peligrosidad', 'n') 0.0
('penagos', 'n') 0.0
('pensemos', 'n') 0.0
('peque�a', 'n') 0.0
('pera', 'n') 0.0
('peraza', 'n') 0.0
('percance', 'n') 0.0
('perezca', 'n') 0.0
('perjuicio', 'n') 0.0
('permaneciendo', 'n') 0.0
('perpetua', 'n') 0.0
('perredista', 'n') 0.0
('persecuci�n', 'n') 0.0
('personaje', 'n') 0.0
('personalizadas', 'n') 0.0
('perversa', 'n') 0.0
('per�odo', 'n') 0.0
('pesquero', 'n') 0.0
('petroqu�mica', 'n') 0.0
('petr�leo', 'n') 0.0
('pgragma', 'n') 0.0
('piccolo', 'n') 0.0
('pichucalco', 'n') 0.0
('pidiendo', 'n') 0.0
('piedad', 'n') 0.0
('piloto', 'n') 0.0
('pintura', 'n') 0.0
('pionero', 'n') 0.0
('piratas', 'n') 0.0
('placer', 'n') 0.0
('plagado', 'n') 0.0
('plazuela', 'n') 0.0
('plena', 'n') 0.0
('pluralidad', 'n') 0.0
('pluri�tnicas', 'n') 0.0
('pl�tica', 'n') 0.0
('poblador', 'n') 0.0
('podr�a', 'n') 0.0
('polichinela', 'n') 0.0
('policia', 'n') 0.0
('policiaca', 'n') 0.0
('pol�deca', 'n') 0.0
('ponciano', 'n') 0.0
('ponencia', 'n') 0.0
('porfirio', 'n') 0.0
('porfirista', 'n') 0.0
('porqu�', 'n') 0.0
('porra', 'n') 0.0
('portaba', 'n') 0.0
('portada', 'n') 0.0
('portavoz', 'n') 0.0
('posguerra', 'n') 0.0
('posibilidad', 'n') 0.0
('posici�n', 'n') 0.0
('positiva', 'n') 0.0
('positivas', 'n') 0.0
('posmoderna', 'n') 0.0
('postergada', 'n') 0.0
('postgrado', 'n') 0.0
('postura', 'n') 0.0
('poza', 'n') 0.0
('prado', 'n') 0.0
('pragma', 'n') 0.0
('precario', 'n') 0.0
('precisamos', 'n') 0.0
('precursora', 'n') 0.0
('predicci�n', 'n') 0.0
('preferida', 'n') 0.0
('preguntarnos', 'n') 0.0
('premio', 'n') 0.0
('premisa', 'n') 0.0
('premoderno', 'n') 0.0
('prensa', 'n') 0.0
('prensado', 'n') 0.0
('preparaci�n', 'n') 0.0
('preparatoria', 'n') 0.0
('prepotencia', 'n') 0.0
('prerrequisito', 'n') 0.0
('presb�tero', 'n') 0.0
('presencia', 'n') 0.0
('presenciamos', 'n') 0.0
('presentaci�n', 'n') 0.0
('presidencia', 'n') 0.0
('presidenta', 'n') 0.0
('presidiendo', 'n') 0.0
('presionadas', 'n') 0.0
('preso', 'n') 0.0
('prestados', 'n') 0.0
('prestigiadas', 'n') 0.0
('prestos', 'n') 0.0
('prevenido', 'n') 0.0
('preventivo', 'n') 0.0
('previsi�n', 'n') 0.0
('pri', 'n') 0.0
('prigobierno', 'n') 0.0
('primavera', 'n') 0.0
('primaveraverano', 'n') 0.0
('prioritaria', 'n') 0.0
('prisi�n', 'n') 0.0
('prita', 'n') 0.0
('priva', 'n') 0.0
('privado', 'n') 0.0
('privatizaci�n', 'n') 0.0
('pri�sta', 'n') 0.0
('pri�stas', 'n') 0.0
('probabilidad', 'n') 0.0
('problem�tica', 'n') 0.0
('procediera', 'n') 0.0
('procesadas', 'n') 0.0
('procesi�n', 'n') 0.0
('prodigaba', 'n') 0.0
('profeco', 'n') 0.0
('profesor', 'n') 0.0
('profundizada', 'n') 0.0
('programados', 'n') 0.0
('prohibida', 'n') 0.0
('prolongado', 'n') 0.0
('promoci�n', 'n') 0.0
('promovido', 'n') 0.0
('pronto', 'n') 0.0
('pronunciaba', 'n') 0.0
('pron�stico', 'n') 0.0
('propiciaba', 'n') 0.0
('propietario', 'n') 0.0
('proporcionados', 'n') 0.0
('prop�sito', 'n') 0.0
('prosiga', 'n') 0.0
('prospera', 'n') 0.0
('protagonismos', 'n') 0.0
('protag�nico', 'n') 0.0
('protegida', 'n') 0.0
('protesta', 'n') 0.0
('protesto', 'n') 0.0
('proveedores', 'n') 0.0
('provincia', 'n') 0.0
('provocando', 'n') 0.0
('provocar�a', 'n') 0.0
('prudencia', 'n') 0.0
('pr�ctica', 'n') 0.0
('pr�digo', 'n') 0.0
('pr�fugo', 'n') 0.0
('psic�logo', 'n') 0.0
('publicaci�n', 'n') 0.0
('pudrirnos', 'n') 0.0
('puerto', 'n') 0.0
('puesto', 'n') 0.0
('pulverizada', 'n') 0.0
('p�nico', 'n') 0.0
('p�rpado', 'n') 0.0
('p�rroco', 'n') 0.0
('p�simas', 'n') 0.0
('p�simos', 'n') 0.0
('p�blica', 'n') 0.0
('p�blicas', 'n') 0.0
('p�blico', 'n') 0.0
('quebrado', 'n') 0.0
('quedarnos', 'n') 0.0
('quehacer', 'n') 0.0
('queja', 'n') 0.0
('quemadura', 'n') 0.0
('querida', 'n') 0.0
('querido', 'n') 0.0
('queso', 'n') 0.0
('quienquiera', 'n') 0.0
('quiroga', 'n') 0.0
('rabasa', 'n') 0.0
('rabia', 'n') 0.0
('radioaficionado', 'n') 0.0
('radiograf�a', 'n') 0.0
('radiopatrullas', 'n') 0.0
('rafael', 'n') 0.0
('ramiro', 'n') 0.0
('ram�rez', 'n') 0.0
('rancho', 'n') 0.0
('rango', 'n') 0.0
('raqu�tico', 'n') 0.0
('rasgo', 'n') 0.0
('raya', 'n') 0.0
('razonado', 'n') 0.0
('ra�z', 'n') 0.0
('ra�l', 'n') 0.0
('real', 'n') 0.0
('realizados', 'n') 0.0
('reanudaci�n', 'n') 0.0
('rebeli�n', 'n') 0.0
('recabados', 'n') 0.0
('recaiga', 'n') 0.0
('recesi�n', 'n') 0.0
('rechazo', 'n') 0.0
('recitadas', 'n') 0.0
('reclusorio', 'n') 0.0
('recogerla', 'n') 0.0
('recogido', 'n') 0.0
('recomendando', 'n') 0.0
('recomienda', 'n') 0.0
('recompensa', 'n') 0.0
('reconquista', 'n') 0.0
('recordarnos', 'n') 0.0
('recr�a', 'n') 0.0
('recta', 'n') 0.0
('rectificaciones', 'n') 0.0
('rector', 'n') 0.0
('recuperada', 'n') 0.0
('recuperadas', 'n') 0.0
('recuperando', 'n') 0.0
('redimensionamiento', 'n') 0.0
('redocumenta', 'n') 0.0
('reduc�a', 'n') 0.0
('referencia', 'n') 0.0
('referente', 'n') 0.0
('refer�ndum', 'n') 0.0
('refer�a', 'n') 0.0
('refiero', 'n') 0.0
('refr�n', 'n') 0.0
('regado', 'n') 0.0
('regalo', 'n') 0.0
('rega�o', 'n') 0.0
('regidor', 'n') 0.0
('registro', 'n') 0.0
('regla', 'n') 0.0
('reglamentaci�n', 'n') 0.0
('regreso', 'n') 0.0
('reid', 'n') 0.0
('reina', 'n') 0.0
('reintegrada', 'n') 0.0
('rejuvenecido', 'n') 0.0
('relacionada', 'n') 0.0
('relevancia', 'n') 0.0
('religioso', 'n') 0.0
('remo', 'n') 0.0
('remotas', 'n') 0.0
('remuneraci�n', 'n') 0.0
('rencor', 'n') 0.0
('rendido', 'n') 0.0
('renovaci�n', 'n') 0.0
('renovada', 'n') 0.0
('renta', 'n') 0.0
('renuevo', 'n') 0.0
('reo', 'n') 0.0
('repagados', 'n') 0.0
('reparto', 'n') 0.0
('repetitivas', 'n') 0.0
('reporta', 'n') 0.0
('reportero', 'n') 0.0
('representa', 'n') 0.0
('represi�n', 'n') 0.0
('reproducidas', 'n') 0.0
('repudio', 'n') 0.0
('repunte', 'n') 0.0
('requerido', 'n') 0.0
('requerimos', 'n') 0.0
('requerir�a', 'n') 0.0
('requiriendo', 'n') 0.0
('requisitoria', 'n') 0.0
('reserva', 'n') 0.0
('reservado', 'n') 0.0
('rese�adas', 'n') 0.0
('residentes', 'n') 0.0
('resignaci�n', 'n') 0.0
('resino', 'n') 0.0
('resoluci�n', 'n') 0.0
('respaldo', 'n') 0.0
('respectiva', 'n') 0.0
('respetuosa', 'n') 0.0
('respiro', 'n') 0.0
('restaurantero', 'n') 0.0
('resumen', 'n') 0.0
('retablo', 'n') 0.0
('reto', 'n') 0.0
('retrasa', 'n') 0.0
('retrasado', 'n') 0.0
('retroceso', 'n') 0.0
('revela', 'n') 0.0
('revisi�n', 'n') 0.0
('revisora', 'n') 0.0
('revista', 'n') 0.0
('revoluci�n', 'n') 0.0
('rey', 'n') 0.0
('reyes', 'n') 0.0
('reynosa', 'n') 0.0
('reynoso', 'n') 0.0
('reza', 'n') 0.0
('rezago', 'n') 0.0
('rezgo', 'n') 0.0
('re�idas', 'n') 0.0
('rica', 'n') 0.0
('ricargo', 'n') 0.0
('rinc�n', 'n') 0.0
('rivera', 'n') 0.0
('riverside', 'n') 0.0
('robledo', 'n') 0.0
('roblero', 'n') 0.0
('robo', 'n') 0.0
('rocha', 'n') 0.0
('rogelio', 'n') 0.0
('roja', 'n') 0.0
('romana', 'n') 0.0
('romeo', 'n') 0.0
('romo', 'n') 0.0
('rompimiento', 'n') 0.0
('ronda', 'n') 0.0
('rosa', 'n') 0.0
('rosado', 'n') 0.0
('rosalba', 'n') 0.0
('rosario', 'n') 0.0
('rotativa', 'n') 0.0
('rueda', 'n') 0.0
('ruego', 'n') 0.0
('ruina', 'n') 0.0
('ruso', 'n') 0.0
('rutina', 'n') 0.0
('r�gimen', 'n') 0.0
('sabanilla', 'n') 0.0
('sabor', 'n') 0.0
('sabotaje', 'n') 0.0
('sacrificio', 'n') 0.0
('sagrada', 'n') 0.0
('sagrado', 'n') 0.0
('salamanca', 'n') 0.0
('salcedo', 'n') 0.0
('salgamos', 'n') 0.0
('saliera', 'n') 0.0
('salinas', 'n') 0.0
('salinismo', 'n') 0.0
('salom�nico', 'n') 0.0
('salto', 'n') 0.0
('salvador', 'n') 0.0
('sal�a', 'n') 0.0
('sangre', 'n') 0.0
('santacilia', 'n') 0.0
('saquearlo', 'n') 0.0
('sarmiento', 'n') 0.0
('satisfacci�n', 'n') 0.0
('sayula', 'n') 0.0
('sazonado', 'n') 0.0
('scalfaro', 'n') 0.0
('scannerteclado', 'n') 0.0
('secos', 'n') 0.0
('secretaria', 'n') 0.0
('secretas', 'n') 0.0
('sed', 'n') 0.0
('sede', 'n') 0.0
('segmento', 'n') 0.0
('seguiremos', 'n') 0.0
('seguir�a', 'n') 0.0
('segundo', 'n') 0.0
('seguras', 'n') 0.0
('seguro', 'n') 0.0
('seleccionado', 'n') 0.0
('selecci�n', 'n') 0.0
('selecto', 'n') 0.0
('senadora', 'n') 0.0
('sencillez', 'n') 0.0
('senda', 'n') 0.0
('sensores', 'n') 0.0
('sentencia', 'n') 0.0
('separando', 'n') 0.0
('sera', 'n') 0.0
('serlo', 'n') 0.0
('sesgo', 'n') 0.0
('sesi�n', 'n') 0.0
('se�orita', 'n') 0.0
('sicilia', 'n') 0.0
('siendo', 'n') 0.0
('sierra', 'n') 0.0
('signo', 'n') 0.0
('sigua', 'n') 0.0
('silla', 'n') 0.0
('simplistas', 'n') 0.0
('simpson', 'n') 0.0
('sindicatura', 'n') 0.0
('sinf�n', 'n') 0.0
('sinn�mero', 'n') 0.0
('sobradas', 'n') 0.0
('sobregiro', 'n') 0.0
('sobrenadaba', 'n') 0.0
('sobreseimiento', 'n') 0.0
('sobrevino', 'n') 0.0
('socama', 'n') 0.0
('socialista', 'n') 0.0
('socio', 'n') 0.0
('socioecon�mica', 'n') 0.0
('sociolog�a', 'n') 0.0
('soci�logo', 'n') 0.0
('socorrido', 'n') 0.0
('socorridos', 'n') 0.0
('sofisticados', 'n') 0.0
('sofocados', 'n') 0.0
('software', 'n') 0.0
('sol', 'n') 0.0
('soldado', 'n') 0.0
('solicitaba', 'n') 0.0
('solicito', 'n') 0.0
('solidez', 'n') 0.0
('solvencia', 'n') 0.0
('sol�rzano', 'n') 0.0
('sombr�o', 'n') 0.0
('sometimiento', 'n') 0.0
('sometimientos', 'n') 0.0
('sonora', 'n') 0.0
('sonr�a', 'n') 0.0
('sospecha', 'n') 0.0
('soto', 'n') 0.0
('sotomayor', 'n') 0.0
('soya', 'n') 0.0
('subasta', 'n') 0.0
('subempleo', 'n') 0.0
('subida', 'n') 0.0
('subprocuradur�a', 'n') 0.0
('subsecretario', 'n') 0.0
('subsidiados', 'n') 0.0
('subsistencia', 'n') 0.0
('sucediendo', 'n') 0.0
('suced�neo', 'n') 0.0
('sucias', 'n') 0.0
('sud�frica', 'n') 0.0
('sue�o', 'n') 0.0
('suframos', 'n') 0.0
('sufridos', 'n') 0.0
('sufriendo', 'n') 0.0
('sugerencia', 'n') 0.0
('suiza', 'n') 0.0
('sumada', 'n') 0.0
('sumerg�a', 'n') 0.0
('sumo', 'n') 0.0
('supon�a', 'n') 0.0
('suprema', 'n') 0.0
('supremo', 'n') 0.0
('sur', 'n') 0.0
('surgimiento', 'n') 0.0
('susana', 'n') 0.0
('suscripci�n', 'n') 0.0
('suspensi�n', 'n') 0.0
('sustento', 'n') 0.0
('sustituto', 'n') 0.0
('susto', 'n') 0.0
('su�ltelo', 'n') 0.0
('s�cula', 'n') 0.0
('s�mbolo', 'n') 0.0
('s�ndrome', 'n') 0.0
('tabasco', 'n') 0.0
('tabasque�o', 'n') 0.0
('tacubaya', 'n') 0.0
('talento', 'n') 0.0
('tamaulipas', 'n') 0.0
('tapachula', 'n') 0.0
('tapo', 'n') 0.0
('taqueos', 'n') 0.0
('tarahumara', 'n') 0.0
('tarasca', 'n') 0.0
('tarde', 'n') 0.0
('tarifa', 'n') 0.0
('tasco', 'n') 0.0
('taurinas', 'n') 0.0
('teatro', 'n') 0.0
('teclado', 'n') 0.0
('tecn�crata', 'n') 0.0
('tela', 'n') 0.0
('telecomunicaci�n', 'n') 0.0
('telefonista', 'n') 0.0
('telef�nica', 'n') 0.0
('telef�nicos', 'n') 0.0
('telegrama', 'n') 0.0
('telenovelas', 'n') 0.0
('televisor', 'n') 0.0
('tel�fono', 'n') 0.0
('temario', 'n') 0.0
('temor', 'n') 0.0
('templo', 'n') 0.0
('temporada', 'n') 0.0
('tendenciosas', 'n') 0.0
('tender�a', 'n') 0.0
('tenencia', 'n') 0.0
('teniente', 'n') 0.0
('teor�a', 'n') 0.0
('tepantongo', 'n') 0.0
('terminados', 'n') 0.0
('terminemos', 'n') 0.0
('terreno', 'n') 0.0
('terroba', 'n') 0.0
('terrorismo', 'n') 0.0
('tesobonos', 'n') 0.0
('testigo', 'n') 0.0
('texto', 'n') 0.0
('textura', 'n') 0.0
('tila', 'n') 0.0
('tinajero', 'n') 0.0
('tinta', 'n') 0.0
('tinte', 'n') 0.0
('titular', 'n') 0.0
('tizayuca', 'n') 0.0
('tocamos', 'n') 0.0
('toda', 'n') 0.0
('toma', 'n') 0.0
('tormento', 'n') 0.0
('toro', 'n') 0.0
('torpeza', 'n') 0.0
('tortuguismo', 'n') 0.0
('tostada', 'n') 0.0
('totalidad', 'n') 0.0
('tradici�n', 'n') 0.0
('tramo', 'n') 0.0
('trampa', 'n') 0.0
('tranquilidad', 'n') 0.0
('transacci�n', 'n') 0.0
('transforma', 'n') 0.0
('transformaci�n', 'n') 0.0
('transformando', 'n') 0.0
('transmisi�n', 'n') 0.0
('transporte', 'n') 0.0
('trasferencia', 'n') 0.0
('traslado', 'n') 0.0
('tratamiento', 'n') 0.0
('tratamos', 'n') 0.0
('trayectoria', 'n') 0.0
('tremendas', 'n') 0.0
('tremendo', 'n') 0.0
('tren', 'n') 0.0
('triada', 'n') 0.0
('tribunal', 'n') 0.0
('tripulaci�n', 'n') 0.0
('tronamos', 'n') 0.0
('tropa', 'n') 0.0
('truena', 'n') 0.0
('truncado', 'n') 0.0
('tr�nsito', 'n') 0.0
('tula', 'n') 0.0
('turista', 'n') 0.0
('tutto', 'n') 0.0
('t�cnico', 'n') 0.0
('t�tulo', 'n') 0.0
('ulloa', 'n') 0.0
('ultima', 'n') 0.0
('una�gina', 'n') 0.0
('unico', 'n') 0.0
('unidas', 'n') 0.0
('universidad', 'n') 0.0
('uni�n', 'n') 0.0
('unocero', 'n') 0.0
('un�sono', 'n') 0.0
('urbano', 'n') 0.0
('usuario', 'n') 0.0
('utop�a', 'n') 0.0
('vaca', 'n') 0.0
('vacacional�nico', 'n') 0.0
('vacacionistas', 'n') 0.0
('vaiv�n', 'n') 0.0
('valdovinos', 'n') 0.0
('valencia', 'n') 0.0
('valenzuela', 'n') 0.0
('valida', 'n') 0.0
('valiosa', 'n') 0.0
('vana', 'n') 0.0
('variedad', 'n') 0.0
('vasconcelos', 'n') 0.0
('veamos', 'n') 0.0
('vega', 'n') 0.0
('velada', 'n') 0.0
('velasco', 'n') 0.0
('velazco', 'n') 0.0
('vel�zquez', 'n') 0.0
('vendedor', 'n') 0.0
('vendedora', 'n') 0.0
('venderlo', 'n') 0.0
('vendiendo', 'n') 0.0
('venecia', 'n') 0.0
('ventura', 'n') 0.0
('venustiano', 'n') 0.0
('veracruzana', 'n') 0.0
('veracruzano', 'n') 0.0
('veracruzanos', 'n') 0.0
('verano', 'n') 0.0
('veras', 'n') 0.0
('verdura', 'n') 0.0
('veredicto', 'n') 0.0
('vereoconferencias', 'n') 0.0
('verificaci�n', 'n') 0.0
('verla', 'n') 0.0
('versi�n', 'n') 0.0
('vertiginosa', 'n') 0.0
('ver�nica', 'n') 0.0
('vestido', 'n') 0.0
('vestidura', 'n') 0.0
('viabilidad', 'n') 0.0
('viajara', 'n') 0.0
('viajero', 'n') 0.0
('vicente', 'n') 0.0
('victimario', 'n') 0.0
('victoria', 'n') 0.0
('videoconferencia', 'n') 0.0
('videoconferencias', 'n') 0.0
('videograbadoras', 'n') 0.0
('vigencia', 'n') 0.0
('vigilantes', 'n') 0.0
('vigoroso', 'n') 0.0
('villa', 'n') 0.0
('villarreal', 'n') 0.0
('vilo', 'n') 0.0
('vino', 'n') 0.0
('violaci�n', 'n') 0.0
('violando', 'n') 0.0
('virginia', 'n') 0.0
('visionario', 'n') 0.0
('visita', 'n') 0.0
('visi�n', 'n') 0.0
('vitro', 'n') 0.0
('vituperio', 'n') 0.0
('viuda', 'n') 0.0
('vivienda', 'n') 0.0
('viviento', 'n') 0.0
('vocaci�n', 'n') 0.0
('volumen', 'n') 0.0
('voluntario', 'n') 0.0
('volviendo', 'n') 0.0
('votaci�n', 'n') 0.0
